block_index,cell_id,family,stochastic,n,parameters_json,expected_matrices,recovered_matrices,completion_fraction,state
0,random_conditioned:3d4ea8f7b0b7ac02,random_conditioned,True,8,"{""condition_number"":100.0,""profile"":""geometric""}",20000,20000,1.0,complete
1,random_conditioned:f13d30e42b69e288,random_conditioned,True,8,"{""condition_number"":100.0,""profile"":""one_small""}",20000,20000,1.0,complete
2,random_conditioned:5e2483f030292e83,random_conditioned,True,8,"{""condition_number"":100.0,""profile"":""clustered""}",20000,20000,1.0,complete
3,random_conditioned:59554964dd17fd28,random_conditioned,True,8,"{""condition_number"":10000.0,""profile"":""geometric""}",20000,20000,1.0,complete
4,random_conditioned:9249e93b9b37b741,random_conditioned,True,8,"{""condition_number"":10000.0,""profile"":""one_small""}",20000,20000,1.0,complete
5,random_conditioned:24db10624cd06023,random_conditioned,True,8,"{""condition_number"":10000.0,""profile"":""clustered""}",20000,20000,1.0,complete
6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,True,8,"{""condition_number"":1000000.0,""profile"":""geometric""}",20000,20000,1.0,complete
7,random_conditioned:58959af1bd395489,random_conditioned,True,8,"{""condition_number"":1000000.0,""profile"":""one_small""}",20000,20000,1.0,complete
8,random_conditioned:60b649f84d12d8bd,random_conditioned,True,8,"{""condition_number"":1000000.0,""profile"":""clustered""}",20000,20000,1.0,complete
9,random_conditioned:d85a46ecb6e00d73,random_conditioned,True,8,"{""condition_number"":100000000.0,""profile"":""geometric""}",20000,20000,1.0,complete
10,random_conditioned:be39cf2c9bb5dcd1,random_conditioned,True,8,"{""condition_number"":100000000.0,""profile"":""one_small""}",20000,20000,1.0,complete
11,random_conditioned:c09b81d86321af6f,random_conditioned,True,8,"{""condition_number"":100000000.0,""profile"":""clustered""}",20000,20000,1.0,complete
12,random_conditioned:37f6a61bc4687e9e,random_conditioned,True,8,"{""condition_number"":10000000000.0,""profile"":""geometric""}",20000,20000,1.0,complete
13,random_conditioned:33289cf8a89ff087,random_conditioned,True,8,"{""condition_number"":10000000000.0,""profile"":""one_small""}",20000,20000,1.0,complete
14,random_conditioned:d512272586bc7c53,random_conditioned,True,8,"{""condition_number"":10000000000.0,""profile"":""clustered""}",20000,20000,1.0,complete
15,random_conditioned:36337c2841740aff,random_conditioned,True,8,"{""condition_number"":1000000000000.0,""profile"":""geometric""}",20000,20000,1.0,complete
16,random_conditioned:982d888343062026,random_conditioned,True,8,"{""condition_number"":1000000000000.0,""profile"":""one_small""}",20000,20000,1.0,complete
17,random_conditioned:3868b8f4f35e5d1d,random_conditioned,True,8,"{""condition_number"":1000000000000.0,""profile"":""clustered""}",20000,20000,1.0,complete
18,random_conditioned:e026603158c7af35,random_conditioned,True,8,"{""condition_number"":100000000000000.0,""profile"":""geometric""}",20000,20000,1.0,complete
19,random_conditioned:5b19efd6ef2b5c0b,random_conditioned,True,8,"{""condition_number"":100000000000000.0,""profile"":""one_small""}",20000,20000,1.0,complete
20,random_conditioned:20591473a1bf5735,random_conditioned,True,8,"{""condition_number"":100000000000000.0,""profile"":""clustered""}",20000,20000,1.0,complete
21,random_conditioned:6ed2736ecab0398d,random_conditioned,True,8,"{""condition_number"":1.0,""profile"":""orthogonal""}",20000,20000,1.0,complete
22,hilbert:b9c548331ca110df,hilbert,False,8,{},1,1,1.0,complete
23,vandermonde:c75e7bcca1c1877c,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""equispaced""}",1,1,1.0,complete
24,vandermonde:ceedbcebccced4fc,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""equispaced""}",1,1,1.0,complete
25,vandermonde:e7c5154704c3d4c9,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""chebyshev""}",1,1,1.0,complete
26,vandermonde:df362d800fc64531,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""chebyshev""}",1,1,1.0,complete
27,vandermonde:1a694a5cc930f5b5,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":false,""node_type"":""clustered_zero""}",1,1,1.0,complete
28,vandermonde:777568ed0dbc806c,vandermonde,False,8,"{""cluster_parameter"":10.0,""column_scaling"":true,""node_type"":""clustered_zero""}",1,1,1.0,complete
